지역명,average return (%),average gain and loss (unit: 10000won),median return (%),median gain and loss (unit: 10000won),bottom 25% return (%),bottom 25% gain and loss (unit: 10000won),top 25% return (%),top 25% gain and loss (unit: 10000won),local_name,특수목적고 진학 합계 (명),특목고 합격 비율 (%),middle school rating,high school rating,middle + high school rating,average price (unit:10000won),median price (unit:10000won),bottom 25% price (unit:10000won),top 25% price (unit:10000won),Number of jobs by withholding region,salary per person by withholding region,salary per person by residence
서초구,65.8,68869,71.1,68585,53.8,42000,80.7,98000,Seocho-gu,189,5.02,4600,13562,21657.18,173495,165000,120000,219500,472357,4010.6,6837.9
강남구,59,64292,57,63500,57.7,50750,57.2,74225,Gangnam-gu,281,5.53,6540,12406,21233.74,173212,175000,138750,204000,941482,3626,7007.8
분당구,45.6,28681,49.2,29500,45.6,25000,44.3,31000,Bundang-gu,415,7.68,9830,10906,21155.64,91587,89500,79800,101000,411406,4150.4,4489
양천구,52.7,25163,50.4,22800,47,17150,60.7,34000,Yangcheon-gu,274,4.77,6280,11926,20407.94,72874,68000,53650,90000,74582,3151.8,4263.2
일산동구,10.1,3555,-0.6,-200,2.5,750,7.9,3150,Ilsandong-gu,173,6.27,5030,10633,17848.17,38723,33800,30825,42875,215508,2746.9,3683.3
광진구,55.2,34087,60.4,36350,63,33425,57.2,38950,Gwangjin-gu,129,4.88,3460,10641,16901.59,95817,96500,86500,107000,85424,2893.7,3539.2
일산서구,-7.4,-2324,-11.1,-3370,-8.1,-2200,-14.2,-5100,Ilsanseo-gu,256,7.59,6280,9002,16343.58,29083,27100,24800,30900,215508,2746.9,3683.3
과천시,55.7,44620,59.3,46250,56.2,43225,57.5,46750,Gwacheon-si,65,9.95,2920,10443,16296.97,124707,124250,120125,128000,46198,3865.4,5355.4
동안구,25.5,11070,25.6,11000,15.4,6000,26.6,12575,Dongan-gu,220,5.71,5610,8962,15879.28,54440,54000,45000,59850,191686,3363.1,3708.6
강북구,37.1,14801,30,12000,29.1,10175,51.6,22200,Gangbuk-gu,141,6.07,3600,9825,15852.75,54734,52000,45100,65250,38730,2503,2698.8
수지구,29.3,12304,22.5,9300,16.1,6000,30.5,13975,Suji-gu,194,5.46,4830,9243,15794.07,54346,50700,43275,59775,286682,3968.6,4345.5
송파구,55.8,41108,50.4,32750,51.1,29075,63.7,59375,Songpa-gu,334,5.87,7660,7716,15397.84,114740,97750,85975,152625,331623,3436.3,4655.6
서대문구,61.5,30626,60.9,29400,47.5,19313,71.4,39575,Seodaemun-gu,84,3.74,2430,9507,14697.03,80463,77700,60000,95000,84358,3974,3737.6
영등포구,65.3,32787,60,29400,50.7,22550,81.7,44750,Yeongdeungpo-gu,79,3.69,2420,9142,14183.58,83025,78400,67050,99500,527939,4725.1,3980.4
덕양구,24,7977,23.8,7800,14.7,4075,36.8,13625,Deogyang-gu,206,5.36,5200,7737,13926.43,41186,40600,31775,50625,215508,2746.9,3683.3
강동구,47,24645,49.8,24900,44.6,20050,46,27400,Gangdong-gu,127,3.58,3430,8437,13819.73,77052,74900,65000,87000,109562,3609.9,3616.1
의왕시,11.9,5208,7.4,3350,5.7,2000,17.1,8850,Uiwang-si,68,5.67,2320,8913,13804.27,48832,48350,37000,60475,35767,3365.1,3767.8
군포시,5.2,1927,0,0,3.6,1175,-0.6,-225,Gunpo-si,129,4.75,3730,7451,12632.19,38942,36000,34000,40050,71429,3049.1,3582.5
노원구,34.2,14192,36.3,15000,30.8,11313,37,16925,Nowon-gu,287,4.84,6820,6013,12518.27,55736,56275,47988,62725,77795,2796.7,3544.6
김포시,21.1,5723,17.6,4850,27.4,6025,20.6,6500,Gimpo-si,138,3.88,3570,6945,11831.25,32877,32350,28000,38000,135348,2848.9,3323.7
성북구,43.8,19814,42.7,19150,41.9,16750,52.7,25700,Seongbuk-gu,144,4.27,3580,6880,11747,65038,64000,56750,74500,76939,3093.1,3736.3
광명시,32.3,15534,28.1,13150,17.8,7700,46.7,25450,Gwangmyeong-si,84,2.7,2900,7100,11638,63557,59950,51000,80000,65938,3476.3,3441.9
영통구,21,8154,10.6,3750,-1.3,-400,27.9,12000,Yeongtong-gu,186,4.35,4430,6342,11517.68,46979,39100,31000,55000,414589,5346.7,3923.8
강서구,35.4,18072,32.3,16100,34.1,14500,33.8,19950,Gangseo-gu,174,4.54,4150,6399,11426.11,69160,66000,57000,78950,214753,3627.4,3454.1
만안구,27.4,9921,26.1,9000,17.2,5150,41.9,16700,Manan-gu,54,3.15,1760,7367,11313.73,46093,43500,35150,56600,191686,3363.1,3708.6
도봉구,27.3,9862,22.8,7700,21,6500,28.6,12000,Dobong-gu,140,5.44,3650,6396,11116.94,46051,41500,37500,54000,44574,2506.4,3019.6
수정구,59,25522,42.3,16500,18.2,6700,118.4,55650,Sujeong-gu,27,1.73,600,7508,10802.12,68768,55500,43500,102650,411406,4150.4,4489
종로구,72.1,42937,50.2,29600,54.6,29500,115.9,76500,Jongno-gu,53,4.84,1950,6909,10793.01,102465,88600,83500,142500,379727,4716.4,4644.8
부천시,20.9,7704,20.4,7450,19.8,6450,21.3,8775,Bucheon-si,209,3.06,4750,5601,10682.89,44530,44000,38950,50000,199562,2834.2,3042.8
